"sim:O->X"	"sim:X->O"	"sim:OX|XO"	"sim:X"	"fit:O->X"	"fit:X->O"	"fit:OX|XO"	"fit:X"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.05	0.05	1	0.5	0.0469	0.0558	1.024	0.6607	2	6	2	"root"	-22016.3657	0
0.05	0.05	1	0.5	0.0469	0.0559	1.0209	0.6622	1	5	3	"root"	-33018.1384	0
0.05	0.05	1	0.5	0.0469	0.0559	1.0229	0.6625	1	4	2	"root"	-22016.5446	0
0.05	0.05	1	0.5	0.0469	0.0559	1.0294	0.6633	1	3	1	"root"	-11014.821	0
0.05	0.05	1	0.5	0.0503	0.0503	1.0432	0.4738	2	6	2	"root"	-21914.8998	0
0.05	0.05	1	0.5	0.0503	0.0503	1.0408	0.472	1	5	3	"root"	-32866.7265	0
0.05	0.05	1	0.5	0.0503	0.0503	1.0425	0.4742	1	4	2	"root"	-21915.0182	0
0.05	0.05	1	0.5	0.0503	0.0505	1.048	0.4812	1	3	1	"root"	-10963.1363	0
0.05	0.05	1	0.5	0.0502	0.0508	1.0196	0.6443	2	6	2	"root"	-22098.3909	0
0.05	0.05	1	0.5	0.0502	0.0508	1.0226	0.6457	1	5	3	"root"	-33132.5869	0
0.05	0.05	1	0.5	0.0502	0.0508	1.0192	0.6447	1	4	2	"root"	-22098.2653	0
0.05	0.05	1	0.5	0.0503	0.0508	1.0092	0.642	1	3	1	"root"	-11063.7252	0
0.05	0.05	1	0.5	0.0481	0.0523	0.9744	0.7015	2	6	2	"root"	-21935.1735	0
0.05	0.05	1	0.5	0.0482	0.0521	0.9806	0.6964	1	5	3	"root"	-32885.3027	0
0.05	0.05	1	0.5	0.0481	0.0523	0.9748	0.7015	1	4	2	"root"	-21935.041	0
0.05	0.05	1	0.5	0.0478	0.0528	0.9579	0.7167	1	3	1	"root"	-10984.508	0
0.05	0.05	1	0.5	0.0501	0.0517	0.9828	0.5063	2	6	2	"root"	-22182.5558	0
0.05	0.05	1	0.5	0.0501	0.0518	0.9838	0.5105	1	5	3	"root"	-33262.2642	0
0.05	0.05	1	0.5	0.0501	0.0518	0.9823	0.5077	1	4	2	"root"	-22182.5663	0
0.05	0.05	1	0.5	0.0503	0.0516	0.9779	0.5003	1	3	1	"root"	-11102.7299	0
0.05	0.05	1	0.5	0.0539	0.0466	1.0027	0.2868	2	6	2	"root"	-22139.5731	0
0.05	0.05	1	0.5	0.0539	0.0465	1.0001	0.2847	1	5	3	"root"	-33203.0964	0
0.05	0.05	1	0.5	0.0539	0.0466	1.0016	0.2882	1	4	2	"root"	-22139.5493	0
0.05	0.05	1	0.5	0.0538	0.0468	1.0049	0.2964	1	3	1	"root"	-11076.5042	0
0.05	0.05	1	0.5	0.048	0.0504	1.0469	0.5701	2	6	2	"root"	-21543.0174	0
0.05	0.05	1	0.5	0.0481	0.0503	1.046	0.5646	1	5	3	"root"	-32305.2637	0
0.05	0.05	1	0.5	0.0481	0.0504	1.0459	0.5698	1	4	2	"root"	-21543.0353	0
0.05	0.05	1	0.5	0.0479	0.0508	1.0458	0.5857	1	3	1	"root"	-10780.7448	0
0.05	0.05	1	0.5	0.0541	0.047	1.008	0.3517	2	6	2	"root"	-22301.376	0
0.05	0.05	1	0.5	0.0541	0.047	1.0075	0.3505	1	5	3	"root"	-33441.4656	0
0.05	0.05	1	0.5	0.0541	0.0471	1.0069	0.3517	1	4	2	"root"	-22301.4986	0
0.05	0.05	1	0.5	0.0541	0.0472	1.0066	0.3555	1	3	1	"root"	-11161.1339	0
0.05	0.05	1	0.5	0.0503	0.047	1.0963	0.33	2	6	2	"root"	-21463.0641	0
0.05	0.05	1	0.5	0.0503	0.047	1.0957	0.3296	1	5	3	"root"	-32185.8164	0
0.05	0.05	1	0.5	0.0503	0.0471	1.0941	0.331	1	4	2	"root"	-21463.0352	0
0.05	0.05	1	0.5	0.0503	0.0472	1.0916	0.3343	1	3	1	"root"	-10739.8195	0
0.05	0.05	1	0.5	0.0485	0.0533	1.0794	0.6061	2	6	2	"root"	-21960.3944	0
0.05	0.05	1	0.5	0.0485	0.0533	1.0794	0.6052	1	5	3	"root"	-32929.9116	0
0.05	0.05	1	0.5	0.0485	0.0533	1.0782	0.6063	1	4	2	"root"	-21960.6064	0
0.05	0.05	1	0.5	0.0485	0.0535	1.075	0.6093	1	3	1	"root"	-10991.1165	0
0.05	0.05	1	0.5	0.0521	0.0502	0.9232	0.4278	2	6	2	"root"	-22545.2905	0
0.05	0.05	1	0.5	0.0522	0.0502	0.9256	0.4282	1	5	3	"root"	-33805.5926	0
0.05	0.05	1	0.5	0.0522	0.0502	0.9234	0.4283	1	4	2	"root"	-22545.0132	0
0.05	0.05	1	0.5	0.0522	0.0503	0.9172	0.4283	1	3	1	"root"	-11284.3414	0
0.05	0.05	1	0.5	0.0521	0.0453	0.9234	0.314	2	6	2	"root"	-21685.7358	0
0.05	0.05	1	0.5	0.0521	0.0454	0.9238	0.3175	1	5	3	"root"	-32518.7544	0
0.05	0.05	1	0.5	0.0522	0.0453	0.9219	0.3144	1	4	2	"root"	-21685.965	0
0.05	0.05	1	0.5	0.0523	0.0452	0.917	0.3057	1	3	1	"root"	-10852.8332	0
0.05	0.05	1	0.5	0.0495	0.0524	1.0133	0.4832	2	6	2	"root"	-22185.8746	0
0.05	0.05	1	0.5	0.0495	0.0524	1.0116	0.4844	1	5	3	"root"	-33268.3954	0
0.05	0.05	1	0.5	0.0496	0.0524	1.0114	0.4842	1	4	2	"root"	-22186.3594	0
0.05	0.05	1	0.5	0.0496	0.0525	1.011	0.4845	1	3	1	"root"	-11104.257	0
0.05	0.05	1	0.5	0.0474	0.0502	0.9732	0.5688	2	6	2	"root"	-21469.2797	0
0.05	0.05	1	0.5	0.0474	0.0502	0.971	0.568	1	5	3	"root"	-32197.5164	0
0.05	0.05	1	0.5	0.0474	0.0503	0.972	0.5692	1	4	2	"root"	-21469.6576	0
0.05	0.05	1	0.5	0.0474	0.0504	0.9746	0.5734	1	3	1	"root"	-10741.8561	0
0.05	0.05	1	0.5	0.0495	0.0471	0.976	0.4836	2	6	2	"root"	-21477.3208	0
0.05	0.05	1	0.5	0.0495	0.0471	0.9745	0.4852	1	5	3	"root"	-32210.7815	0
0.05	0.05	1	0.5	0.0495	0.0471	0.9753	0.4832	1	4	2	"root"	-21477.4506	0
0.05	0.05	1	0.5	0.0496	0.047	0.9772	0.4772	1	3	1	"root"	-10744.3464	0
0.05	0.05	1	0.5	0.0473	0.0498	0.9806	0.5097	2	6	2	"root"	-21375.6874	0
0.05	0.05	1	0.5	0.0473	0.0498	0.9798	0.5078	1	5	3	"root"	-32054.9925	0
0.05	0.05	1	0.5	0.0473	0.0499	0.9796	0.5118	1	4	2	"root"	-21375.8938	0
0.05	0.05	1	0.5	0.0471	0.0502	0.9794	0.5241	1	3	1	"root"	-10696.6832	0
0.05	0.05	1	0.5	0.0512	0.0509	1.0174	0.5537	2	6	2	"root"	-22301.7414	0
0.05	0.05	1	0.5	0.0512	0.0509	1.0173	0.5547	1	5	3	"root"	-33444.217	0
0.05	0.05	1	0.5	0.0512	0.0509	1.0162	0.5526	1	4	2	"root"	-22301.8536	0
0.05	0.05	1	0.5	0.0513	0.0508	1.0128	0.5467	1	3	1	"root"	-11159.5469	0
0.05	0.05	1	0.5	0.0487	0.0466	1.0431	0.5955	2	6	2	"root"	-21189.389	0
0.05	0.05	1	0.5	0.0487	0.0466	1.0391	0.5914	1	5	3	"root"	-31783.0227	0
0.05	0.05	1	0.5	0.0487	0.0467	1.0403	0.5964	1	4	2	"root"	-21193.597	0
0.05	0.05	1	0.5	0.0486	0.047	1.0452	0.6115	1	3	1	"root"	-10603.7387	0
0.05	0.05	1	0.5	0.0505	0.0476	1.0425	0.5094	2	6	2	"root"	-21605.4838	0
0.05	0.05	1	0.5	0.0505	0.0476	1.0414	0.5103	1	5	3	"root"	-32400.3977	0
0.05	0.05	1	0.5	0.0505	0.0476	1.0413	0.5109	1	4	2	"root"	-21605.6112	0
0.05	0.05	1	0.5	0.0505	0.0477	1.0407	0.5134	1	3	1	"root"	-10810.9315	0
0.05	0.05	1	0.5	0.0475	0.0497	0.9589	0.4645	2	6	2	"root"	-21480.1559	0
0.05	0.05	1	0.5	0.0476	0.0497	0.9546	0.4618	1	5	3	"root"	-32217.321	0
0.05	0.05	1	0.5	0.0476	0.0497	0.9578	0.4635	1	4	2	"root"	-21479.9173	0
0.05	0.05	1	0.5	0.0476	0.0498	0.9693	0.4694	1	3	1	"root"	-10742.1154	0
0.05	0.05	1	0.5	0.0541	0.0486	0.9943	0.3595	2	6	2	"root"	-22465.8734	0
0.05	0.05	1	0.5	0.0541	0.0486	0.9953	0.3592	1	5	3	"root"	-33685.9339	0
0.05	0.05	1	0.5	0.0541	0.0486	0.9934	0.3595	1	4	2	"root"	-22465.9269	0
0.05	0.05	1	0.5	0.0541	0.0487	0.9872	0.3596	1	3	1	"root"	-11245.8798	0
0.05	0.05	1	0.5	0.0525	0.0513	0.9359	0.3474	2	6	2	"root"	-22664.8888	0
0.05	0.05	1	0.5	0.0526	0.0513	0.9334	0.3464	1	5	3	"root"	-33989.85	0
0.05	0.05	1	0.5	0.0526	0.0513	0.9344	0.3467	1	4	2	"root"	-22665.351	0
0.05	0.05	1	0.5	0.0526	0.0514	0.9373	0.3473	1	3	1	"root"	-11340.8056	0
0.05	0.05	1	0.5	0.0549	0.0481	1.036	0.3516	2	6	2	"root"	-22408.5127	0
0.05	0.05	1	0.5	0.0549	0.0481	1.0315	0.3504	1	5	3	"root"	-33610.1969	0
0.05	0.05	1	0.5	0.0549	0.0482	1.0321	0.3514	1	4	2	"root"	-22413.866	0
0.05	0.05	1	0.5	0.0549	0.0483	1.0343	0.3551	1	3	1	"root"	-11217.3621	0
0.05	0.05	1	0.5	0.0504	0.0468	0.9932	0.4603	2	6	2	"root"	-21586.6497	0
0.05	0.05	1	0.5	0.0504	0.0469	0.9962	0.4646	1	5	3	"root"	-32367.8235	0
0.05	0.05	1	0.5	0.0504	0.0468	0.9934	0.4607	1	4	2	"root"	-21586.4102	0
0.05	0.05	1	0.5	0.0506	0.0466	0.9854	0.4491	1	3	1	"root"	-10804.7934	0
0.05	0.05	1	0.5	0.051	0.0516	0.9698	0.5096	2	6	2	"root"	-22404.9289	0
0.05	0.05	1	0.5	0.051	0.0516	0.9698	0.5084	1	5	3	"root"	-33596.6741	0
0.05	0.05	1	0.5	0.051	0.0517	0.969	0.5114	1	4	2	"root"	-22405.0252	0
0.05	0.05	1	0.5	0.0509	0.0519	0.9659	0.5209	1	3	1	"root"	-11213.5755	0
0.05	0.05	1	0.5	0.0503	0.0494	1.0107	0.4513	2	6	2	"root"	-21947.7043	0
0.05	0.05	1	0.5	0.0503	0.0494	1.0097	0.4496	1	5	3	"root"	-32912.1467	0
0.05	0.05	1	0.5	0.0503	0.0495	1.0093	0.4512	1	4	2	"root"	-21947.9949	0
0.05	0.05	1	0.5	0.0503	0.0496	1.008	0.4558	1	3	1	"root"	-10983.7836	0
0.05	0.05	1	0.5	0.0518	0.0484	0.9606	0.422	2	6	2	"root"	-22157.0522	0
0.05	0.05	1	0.5	0.0518	0.0484	0.9618	0.4217	1	5	3	"root"	-33222.0472	0
0.05	0.05	1	0.5	0.0518	0.0484	0.9595	0.4233	1	4	2	"root"	-22157.2963	0
0.05	0.05	1	0.5	0.0517	0.0486	0.9523	0.4301	1	3	1	"root"	-11092.5711	0
0.05	0.05	1	0.5	0.0506	0.0515	1.0055	0.5515	2	6	2	"root"	-22244.8507	0
0.05	0.05	1	0.5	0.0507	0.0515	1.0041	0.5489	1	5	3	"root"	-33357.1806	0
0.05	0.05	1	0.5	0.0507	0.0515	1.0038	0.5527	1	4	2	"root"	-22245.3658	0
0.05	0.05	1	0.5	0.0505	0.0518	1.003	0.564	1	3	1	"root"	-11133.4846	0
0.05	0.05	1	0.5	0.0518	0.05	1.0517	0.5222	2	6	2	"root"	-22351.7805	0
0.05	0.05	1	0.5	0.0518	0.0501	1.0511	0.5223	1	5	3	"root"	-33517.2134	0
0.05	0.05	1	0.5	0.0518	0.0501	1.0516	0.5238	1	4	2	"root"	-22351.3356	0
0.05	0.05	1	0.5	0.0518	0.0502	1.0514	0.5286	1	3	1	"root"	-11185.9256	0
0.05	0.05	1	0.5	0.0522	0.0476	1.0181	0.44	2	6	2	"root"	-22022.1369	0
0.05	0.05	1	0.5	0.0521	0.0477	1.0169	0.4443	1	5	3	"root"	-33026.3304	0
0.05	0.05	1	0.5	0.0522	0.0477	1.0161	0.4413	1	4	2	"root"	-22022.4594	0
0.05	0.05	1	0.5	0.0524	0.0475	1.0146	0.4327	1	3	1	"root"	-11018.25	0
0.05	0.05	1	0.5	0.0541	0.0451	1.0804	0.3416	2	6	2	"root"	-21917.2501	0
0.05	0.05	1	0.5	0.0542	0.0451	1.0763	0.3421	1	5	3	"root"	-32868.9982	0
0.05	0.05	1	0.5	0.0542	0.0451	1.0788	0.3428	1	4	2	"root"	-21917.4363	0
