"sim:A->T"	"sim:T->A"	"sim:C->G"	"sim:G->C"	"sim:A->C"	"sim:T->G"	"sim:A->G"	"sim:T->C"	"sim:C->A"	"sim:G->T"	"sim:C->T"	"sim:G->A"	"sim:CG->TG|CG->CA"	"sim:C|G"	"sim:Ne"	"fit:A->T"	"fit:T->A"	"fit:C->G"	"fit:G->C"	"fit:A->C"	"fit:T->G"	"fit:A->G"	"fit:T->C"	"fit:C->A"	"fit:G->T"	"fit:C->T"	"fit:G->A"	"fit:CG->TG|CG->CA"	"fit:C|G"	"fit:Ne"	"leftwin"	"longwin"	"shortwin"	"rowtaxon"	"loglik"	"convergence"
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0109	0.0115	0.0157	0.0159	0.0074	0.008	0.0075	0.0075	0.0124	0.0116	0.0115	0.0117	0.04	6e-04	1592.1639	1	4	2	"root"	-37722.3159	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0109	0.0116	0.0157	0.0159	0.0074	0.008	0.0075	0.0075	0.0124	0.0116	0.0115	0.0117	0.04	7e-04	1394.9966	1	3	1	"root"	-18863.6912	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0103	0.0152	0.0144	0.0096	0.0082	0.0089	0.0073	0.0118	0.0124	0.0117	0.0123	0.04	4e-04	2457.2176	1	5	2	"root"	-38050.3188	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0103	0.0152	0.0144	0.0096	0.0082	0.0089	0.0073	0.0118	0.0124	0.0117	0.0123	0.04	4e-04	2351.187	2	6	2	"root"	-38050.2437	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0103	0.0152	0.0144	0.0096	0.0082	0.0089	0.0073	0.0118	0.0124	0.0117	0.0123	0.04	4e-04	2540.0031	1	4	2	"root"	-38050.3931	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0105	0.0103	0.0152	0.0144	0.0096	0.0082	0.0089	0.0073	0.0118	0.0124	0.0117	0.0123	0.04	4e-04	2525.9133	1	3	1	"root"	-19028.4671	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1005.711	1	5	2	"root"	-38118.7665	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1005.711	2	6	2	"root"	-38118.6851	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1005.7087	1	4	2	"root"	-38118.836	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1005.7789	1	3	1	"root"	-19061.9983	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	993.36	1	5	2	"root"	-36907.5418	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	993.3622	2	6	2	"root"	-36907.4727	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	993.3528	1	4	2	"root"	-36907.6346	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	993.3396	1	3	1	"root"	-18455.5578	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0092	0.0152	0.0145	0.0078	0.0083	0.0083	0.0078	0.0118	0.012	0.0119	0.012	0.04	0.001	1043.3709	1	5	2	"root"	-37042.6561	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0092	0.0152	0.0145	0.0078	0.0083	0.0083	0.0078	0.0118	0.012	0.0119	0.012	0.04	0.001	1043.6904	2	6	2	"root"	-37042.587	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0092	0.0152	0.0145	0.0078	0.0083	0.0083	0.0078	0.0118	0.012	0.0119	0.012	0.04	0.001	1042.9873	1	4	2	"root"	-37042.7137	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0099	0.0092	0.0152	0.0145	0.0078	0.0083	0.0083	0.0078	0.0118	0.012	0.0119	0.012	0.04	0.001	1038.8242	1	3	1	"root"	-18522.8872	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1010.3631	1	5	2	"root"	-37826.3007	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1010.3654	2	6	2	"root"	-37826.2313	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1010.3608	1	4	2	"root"	-37826.3704	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1010.3193	1	3	1	"root"	-18914.8459	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1008.1251	1	5	2	"root"	-38083.3158	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1008.1323	2	6	2	"root"	-38083.2213	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1008.3153	1	4	2	"root"	-38091.3253	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1008.4834	1	3	1	"root"	-19049.6442	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0094	0.0151	0.0153	0.0079	0.0071	0.0091	0.0084	0.012	0.012	0.012	0.0121	0.04	8e-04	1269.6444	1	5	2	"root"	-37509.9487	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0094	0.0151	0.0153	0.0079	0.0071	0.0091	0.0084	0.012	0.012	0.012	0.0121	0.04	8e-04	1269.594	2	6	2	"root"	-37509.8775	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0094	0.0151	0.0153	0.0079	0.0071	0.0091	0.0084	0.012	0.012	0.012	0.0121	0.04	8e-04	1268.2037	1	4	2	"root"	-37510.0193	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0094	0.0151	0.0153	0.0079	0.0071	0.0091	0.0084	0.012	0.012	0.012	0.0121	0.04	8e-04	1265.5219	1	3	1	"root"	-18755.844	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.002	1	5	2	"root"	-38061.2424	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.002	2	6	2	"root"	-38061.1732	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.002	1	4	2	"root"	-38061.2873	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000.002	1	3	1	"root"	-19031.5589	0
0.01	0.01	0.015	0.015	0.008	0.008	0.008	0.008	0.012	0.012	0.012	0.012	0.04	0.001	1000	0.0096	0.0109	0.0151	0.0148	0.0069	0.0077	0.0072	0.0081	0.012	0.0118	0.0118	0.0119	0.04	0.0019	535.5403	1	5	2	"root"	-36533.0914	0
